	Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE	Reaction Time
"b1b2b3b4[1,1,2,3]"	-0.089002405	-0.0891045	-0.093608543	5374	0.95	-0.153438	-0.0265668	NA	NA	NA	NA	NA	NA	NA	-188.7452169
"b1b2b3b4[2,1,2,3]"	0.017632783	0.01760675	0.018472017	5973.5	0.95	-0.0865735	0.113777	NA	NA	NA	NA	NA	NA	NA	42.20683336
"b1b2b3b4[1,2,2,3]"	0.031251966	0.0316883	0.036627389	6334.9	0.95	-0.0471716	0.115524	NA	NA	NA	NA	NA	NA	NA	75.99984557
"b1b2b3b4[2,2,2,3]"	0.126587531	0.126256	0.129889789	6253	0.95	0.0504039	0.206824	NA	NA	NA	NA	NA	NA	NA	344.6963567
"b1b2b3b4[1,1,3,3]"	-0.032880642	-0.03370105	-0.025748455	5688.7	0.95	-0.161287	0.0971494	NA	NA	NA	NA	NA	NA	NA	-74.27101694
"b1b2b3b4[2,1,3,3]"	0.058381803	0.0583268	0.058043425	5807.1	0.95	-0.0610713	0.178574	NA	NA	NA	NA	NA	NA	NA	146.558515
"b1b2b3b4[1,2,3,3]"	0.12835367	0.127273	0.122480814	6167.7	0.95	0.0337275	0.230574	NA	NA	NA	NA	NA	NA	NA	350.2517091
"b1b2b3b4[2,2,3,3]"	0.090831217	0.0910111	0.086588639	6234.8	0.95	0.00175814	0.177972	NA	NA	NA	NA	NA	NA	NA	236.9505294
"b1b2b3b4[1,1,1,4]"	-0.00181619	-0.00232529	-0.005300819	6115.4	0.95	-0.0814743	0.0753333	NA	NA	NA	NA	NA	NA	NA	-4.250784791
"b1b2b3b4[2,1,1,4]"	-0.149527014	-0.1494925	-0.141027314	4859.5	0.95	-0.226888	-0.0678013	NA	NA	NA	NA	NA	NA	NA	-296.6981303
"b1b2b3b4[1,2,1,4]"	-0.180921632	-0.181688	-0.185480111	5653.2	0.95	-0.272944	-0.0815103	NA	NA	NA	NA	NA	NA	NA	-347.0413651
"b1b2b3b4[2,2,1,4]"	-0.287671422	-0.2879335	-0.288616198	5065.5	0.95	-0.36679	-0.20022	NA	NA	NA	NA	NA	NA	NA	-493.3867191
"b1b2b3b4[1,1,2,4]"	-0.043288408	-0.04328775	-0.040890493	6019.4	0.95	-0.122864	0.0419715	NA	NA	NA	NA	NA	NA	NA	-96.63242266
"b1b2b3b4[2,1,2,4]"	0.180071379	0.17982	0.178993447	3969.2	0.95	0.0441792	0.317046	NA	NA	NA	NA	NA	NA	NA	523.3624725
"b1b2b3b4[1,2,2,4]"	-0.067890145	-0.0676058	-0.064855984	5851.9	0.95	-0.151868	0.017049	NA	NA	NA	NA	NA	NA	NA	-147.4074602
"b1b2b3b4[2,2,2,4]"	0.462254574	0.4627165	0.472555049	4496.9	0.95	0.355436	0.567427	NA	NA	NA	NA	NA	NA	NA	1934.348277
"b1b2b3b4[1,1,3,4]"	-0.127277437	-0.127845	-0.124238477	6031.7	0.95	-0.255681	0.00338615	NA	NA	NA	NA	NA	NA	NA	-258.75067
"b1b2b3b4[2,1,3,4]"	-0.047545308	-0.04827415	-0.050610037	4488.5	0.95	-0.171457	0.0852787	NA	NA	NA	NA	NA	NA	NA	-105.6252025
"b1b2b3b4[1,2,3,4]"	0.139991669	0.1395115	0.142758207	5811.7	0.95	0.0250023	0.261392	NA	NA	NA	NA	NA	NA	NA	387.4291642
"b1b2b3b4[2,2,3,4]"	0.123619927	0.123898	0.123386482	6167.3	0.95	0.0214128	0.225675	NA	NA	NA	NA	NA	NA	NA	335.4125484
"m[1,1,1,1]"	2.553057866	2.55283	2.550753159	6506.8	0.95	2.50511	2.59836	NA	NA	NA	NA	NA	NA	NA	
"m[2,1,1,1]"	2.658090983	2.658245	2.659217035	5898.2	0.95	2.60454	2.71202	NA	NA	NA	NA	NA	NA	NA	
"m[1,2,1,1]"	2.589242986	2.58887	2.584187698	6795.4	0.95	2.5363	2.64316	NA	NA	NA	NA	NA	NA	NA	
"m[2,2,1,1]"	2.666397633	2.666185	2.663543435	6471.1	0.95	2.6103	2.72033	NA	NA	NA	NA	NA	NA	NA	
"m[1,1,2,1]"	2.762054043	2.76203	2.766875258	6563.1	0.95	2.71623	2.80583	NA	NA	NA	NA	NA	NA	NA	
"m[2,1,2,1]"	2.758783197	2.75864	2.757247926	6598.6	0.95	2.72533	2.79012	NA	NA	NA	NA	NA	NA	NA	
"m[1,2,2,1]"	2.792693921	2.79219	2.791651362	6153.5	0.95	2.7356	2.84724	NA	NA	NA	NA	NA	NA	NA	
"m[2,2,2,1]"	2.852126434	2.85187	2.851379824	6309.6	0.95	2.8143	2.88938	NA	NA	NA	NA	NA	NA	NA	
"m[1,1,3,1]"	3.015069281	3.015435	3.019911269	5917.7	0.95	2.93009	3.10562	NA	NA	NA	NA	NA	NA	NA	
"m[2,1,3,1]"	2.936848195	2.93671	2.937829791	6765.1	0.95	2.87666	2.9931	NA	NA	NA	NA	NA	NA	NA	
"m[1,2,3,1]"	3.008036617	3.00732	3.006028963	5893.3	0.95	2.93173	3.08192	NA	NA	NA	NA	NA	NA	NA	
"m[2,2,3,1]"	3.164829275	3.16457	3.160662732	6823.9	0.95	3.09605	3.23415	NA	NA	NA	NA	NA	NA	NA	
"m[1,1,1,2]"	2.631553907	2.63202	2.628983786	6585.7	0.95	2.57631	2.68674	NA	NA	NA	NA	NA	NA	NA	
"m[2,1,1,2]"	2.662420758	2.66315	2.666322481	6746.5	0.95	2.60652	2.71938	NA	NA	NA	NA	NA	NA	NA	
