Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE
ySigma[2,1,2,2]	0.152972307276	0.150415	0.146766518344657	21690.2	0.95	0.10551	0.20469	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,2,2]	0.136523706514	0.134441	0.130505998217507	24772.4	0.95	0.096511	0.181226	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,2,2]	0.20074161908	0.1981245	0.190817758922661	25357.6	0.95	0.146586	0.260269	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,3,2]	0.26307692904	0.25938	0.252959621533053	22836.9	0.95	0.188768	0.344867	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,3,2]	0.26213715742	0.2589975	0.254514862178085	23846.3	0.95	0.188991	0.338467	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,3,2]	0.22192127022	0.2188855	0.210041235130269	23922.9	0.95	0.159494	0.291961	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,3,2]	0.2199293887	0.2168135	0.209277439468942	24379.5	0.95	0.155633	0.287614	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,1,3]	0.167365741024	0.16413	0.160954465230866	18543.2	0.95	0.109616	0.231259	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,1,3]	0.115343376238	0.113577	0.110689083479675	24813.8	0.95	0.0826823	0.152489	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,1,3]	0.142190680782	0.13978	0.133254936143593	21805.1	0.95	0.097331	0.19028	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,1,3]	0.184128560506	0.181024	0.176554662686645	20945.5	0.95	0.125696	0.245168	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,2,3]	0.159730740058	0.157673	0.153340654689015	24900.3	0.95	0.116451	0.20788	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,2,3]	0.2986613343	0.295352	0.29452990936467	24704.3	0.95	0.218349	0.381206	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,2,3]	0.23224851196	0.229614	0.222493466107767	25360.2	0.95	0.170264	0.299706	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,2,3]	0.22988954272	0.226862	0.22455899992029	23502.1	0.95	0.163628	0.301417	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,3,3]	0.38650078936	0.3823835	0.373556657065137	23051.2	0.95	0.287965	0.497562	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,3,3]	0.34804118176	0.343333	0.335921741880291	24786.2	0.95	0.255215	0.450443	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,3,3]	0.27617172064	0.2725295	0.266428490963481	24323.7	0.95	0.197666	0.364307	NA	NA	NA	NA	NA	NA	NA
ySigma[2,2,3,3]	0.24882112684	0.245516	0.241014518299791	23128.1	0.95	0.176577	0.32656	NA	NA	NA	NA	NA	NA	NA
ySigma[1,1,1,4]	0.22561412142	0.22261	0.219208938779521	23791.7	0.95	0.160996	0.295487	NA	NA	NA	NA	NA	NA	NA
ySigma[2,1,1,4]	0.21513372992	0.21232	0.208090482488931	25149.6	0.95	0.159049	0.278768	NA	NA	NA	NA	NA	NA	NA
ySigma[1,2,1,4]	0.2737008021	0.26978	0.260897701732517	22138	0.95	0.194193	0.360625	NA	NA	NA	NA	NA	NA	NA
